HANDLE,c_address,c_lra,c_typeDetail,c_typeSimple
15593000160,5511 S KINGSHIGHWAY BLVD,FALSE,"vacant building, possible",building
15600000110,6900 WEST PARK AV,FALSE,"vacant building, confirmed",building
15605000270,6735 DALE AV,FALSE,"vacant building, confirmed",building
15606000330,6755 NASHVILLE AV,FALSE,"vacant lot, possible",lot
15616000446,5738R VERA CT,FALSE,"vacant lot, possible",lot
15691000420,5423 EICHELBERGER ST,FALSE,"vacant building, possible",building
15782000095,5932 W FLORISSANT AV,TRUE,"vacant lot, confirmed",lot
15793030090,3923 SCHILLER PL,FALSE,"vacant lot, possible",lot
15853000020,4458 CHIPPEWA ST,FALSE,"vacant building, possible",building
15886000030,5006 N KINGSHIGHWAY BLVD,FALSE,"vacant building, possible",building
15967000100,4332 FAIRVIEW AV,FALSE,"vacant lot, possible",lot
16074000420,4975-7 PARKER AV,FALSE,"vacant building, possible",building
16299000120,1217 MCLARAN AV,FALSE,"vacant building, possible",building
16303000020,4548 BESSIE AV,FALSE,"vacant building, possible",building
16371000250,3986 MERAMEC ST,FALSE,"vacant lot, possible",lot
16401000555,3864 BOULEVARD HEIGHTS CT,FALSE,"vacant lot, possible",lot
16401000559,3856 BOULEVARD HEIGHTS CT,FALSE,"vacant lot, possible",lot
16483000012,1300-6 N 8TH ST,FALSE,"vacant lot, possible",lot
19119000360,715 LOOKAWAY CT,FALSE,"vacant lot, possible",lot
10174000020,910-2 CONVENTION PLAZA,TRUE,"vacant lot, confirmed",lot
10174000080,909-21 LUCAS AV,TRUE,"vacant lot, confirmed",lot
10177000010,1018-24 CONVENTION PLAZA,TRUE,"vacant lot, confirmed",lot
10177000020,1016 CONVENTION PLAZA,TRUE,"vacant lot, confirmed",lot
10177000040,1000-6 CONVENTION PLAZA,TRUE,"vacant lot, confirmed",lot
10177000060,1009-13 LUCAS AV,TRUE,"vacant lot, confirmed",lot
10177000080,1015 LUCAS AV,TRUE,"vacant lot, confirmed",lot
10177000090,1017-9 LUCAS AV,TRUE,"vacant lot, confirmed",lot
10177000100,1021-5 LUCAS AV,TRUE,"vacant lot, confirmed",lot
10419000035,700 CERRE ST,TRUE,"vacant lot, confirmed",lot
10435000030,1000-8 CLARK AV,TRUE,"vacant lot, confirmed",lot
