HANDLE,p_address,c_address,p_lcra,p_lra,p_landBank,c_lra,p_typeSimple,c_typeDetail,c_typeSimple,compare_type,p_low
13982000420,4347 HUNT AVE,4347 HUNT AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant building, confirmed",building,unmatched,TRUE
13982000430,4349 HUNT AVE,4349 HUNT AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13982000470,4361 HUNT AVE,4361 HUNT AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
13982000480,4363 HUNT AVE,4363 HUNT AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
13983000010,4240 - 4254 VISTA AVE,4240 VISTA AV,FALSE,FALSE,FALSE,FALSE,unknown,"vacant building, confirmed",building,unmatched,TRUE
13983000070,4220 VISTA AVE,4220 VISTA AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
13983000110,4212 VISTA AVE,4212 VISTA AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13983000180,4215 HUNT AVE,4215 HUNT AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
13983000190,4219 HUNT AVE,4219 HUNT AV,FALSE,FALSE,FALSE,FALSE,building,"vacant lot, confirmed",lot,unmatched,FALSE
13983000200,4223 HUNT AVE,4223 HUNT AV,FALSE,FALSE,FALSE,FALSE,building,"vacant lot, confirmed",lot,unmatched,TRUE
13983000210,4227 HUNT AVE,4227 HUNT AV,FALSE,FALSE,FALSE,FALSE,building,"vacant lot, confirmed",lot,unmatched,TRUE
13983000225,4233 HUNT AVE,4233 HUNT AV,FALSE,FALSE,FALSE,FALSE,building,"vacant lot, confirmed",lot,unmatched,FALSE
13983000260,4247 HUNT AVE,4247 HUNT AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
13983000310,1400 TOWER GROVE AVE,1400 TOWER GROVE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
13984000220,4223 RACE COURSE AVE,4223 RACE COURSE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
13985000020,4368 HUNT AVE,4368 HUNT AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant building, confirmed",building,unmatched,TRUE
13985000030,4366 HUNT AVE,4366 HUNT AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
13985000040,4364 HUNT AVE,4364 HUNT AV,FALSE,FALSE,FALSE,FALSE,unknown,"vacant building, confirmed",building,unmatched,TRUE
13985000060,4358 HUNT AVE,4358 HUNT AV,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
13987000030,4160 BINGHAM AVE,4160 BINGHAM AV,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
13987000080,4134 BINGHAM AVE,4134 BINGHAM AV,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
13987000120,4301 GRAVOIS AVE,4301 GRAVOIS AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
13987000140,4311 GRAVOIS AVE,4311 GRAVOIS AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
13987000170,4327 GRAVOIS AVE,4327 GRAVOIS AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13987000300,4163 OSCEOLA ST,4163 OSCEOLA ST,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
13988000060,4210 BINGHAM AVE,4210 BINGHAM AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13990050010,1434 WITTENBERG AVE,1434 WITTENBERG AV,FALSE,TRUE,TRUE,TRUE,unknown,"vacant building, confirmed",building,unmatched,TRUE
13990050020,1418 - 1430 WITTENBERG AVE,1418-30 WITTENBERG AV,FALSE,TRUE,TRUE,TRUE,unknown,"vacant building, confirmed",building,unmatched,TRUE
13990050090,1429 KENTUCKY AVE,1429 KENTUCKY AV,FALSE,TRUE,TRUE,TRUE,building,"vacant lot, confirmed",lot,unmatched,TRUE
13990050110,1439 KENTUCKY AVE,1439 KENTUCKY AV,FALSE,TRUE,TRUE,TRUE,building,"vacant building, confirmed",building,matched,TRUE
13990060020,1430 S VANDEVENTER AVE,1430 S VANDEVENTER AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
13991000035,1314 S BOYLE AVE,1314 S BOYLE AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13991000040,1312 S BOYLE AVE,1312 S BOYLE AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13991000080,1302 S BOYLE AVE,1302 S BOYLE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, possible",building,matched,FALSE
13991000300,1119 - 1121 KENTUCKY AVE,1119-21 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
13991000310,1123 KENTUCKY AVE,1123 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
13991000380,1141 KENTUCKY AVE,1141 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13991000430,1311 KENTUCKY AVE,1311 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
13992000010,1308 - 1310 KENTUCKY AVE,1308-10 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13992000030,1302 KENTUCKY AVE,1302 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13992000050,1138 KENTUCKY AVE,1138 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13992000070,1134 KENTUCKY AVE,1134 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
13992000110,1124 KENTUCKY AVE,1124 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
13992000130,1120 KENTUCKY AVE,1120 KENTUCKY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
13993210160,1055 - 1057 S VANDEVENTER AVE,1055-7 S VANDEVENTER AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
13996000390,4920 WISE AVE,4920 WISE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
13996000400,4918 WISE AVE,4918 WISE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14000000011,1100 MACKLIND AVE,1100 MACKLIND AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, possible",building,matched,FALSE
14002000160,1050 OAKVIEW PL,1050 OAKVIEW PL,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009030010,1346 JANUARY AVE,1346 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009030030,1340 JANUARY AVE,1340 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009030060,1330 JANUARY AVE,1330 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009030070,1326 JANUARY AVE,1326 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009030080,1324 JANUARY AVE,1324 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009030240,1327 SUBLETTE AVE,1327 SUBLETTE AV,FALSE,FALSE,FALSE,FALSE,unknown,"vacant lot, possible",lot,unmatched,TRUE
14009030260,1337 SUBLETTE AVE,1337 SUBLETTE AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
14009040030,1344 PIERCE AVE,1344 PIERCE AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009040090,1328 PIERCE AVE,1328 PIERCE AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
14009040110,1320 PIERCE AVE,1320 PIERCE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,TRUE
14009040211,5726 WEST PARK AVE,5726 WEST PARK AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
14009040250,5704 WEST PARK AVE,5704 WEST PARK AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009040270,1313 JANUARY AVE,1313 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009040290,1323 JANUARY AVE,1323 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009040300,1325 JANUARY AVE,1325 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009040310,1329 JANUARY AVE,1329 JANUARY AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009040440,1330 HUGHES PL,1330 HUGHES PL,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009040460,1326 HUGHES PL,1326 HUGHES PL,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14009040470,1320 HUGHES PL,1320 HUGHES PL,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14009040530,1325 HUGHES PL,1325 HUGHES PL,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14009040540,1327 HUGHES PL,1327 HUGHES PL,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14009040550,1329 HUGHES PL,1329 HUGHES PL,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14010000100,1242 - 5747 PIERCE AVE,1242 PIERCE AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14012000040,1502 SULPHUR AVE,1502 SULPHUR AV,FALSE,FALSE,FALSE,FALSE,building,"vacant building, possible",building,matched,FALSE
14012000050,1432 DEVLIN ST,1432 DEVLIN ST,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14012000090,1416 DEVLIN ST,1416 DEVLIN ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14012000100,1414 DEVLIN ST,1414 DEVLIN ST,FALSE,TRUE,TRUE,TRUE,lot,"vacant lot, confirmed",lot,matched,TRUE
14014000020,1446 SULPHUR AVE,1446 SULPHUR AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14014000040,1436 SULPHUR AVE,1436 SULPHUR AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14014000100,1414 SULPHUR AVE,1414 SULPHUR AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14015050240,5949 VICTORIA AVE,5949 VICTORIA AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14015060180,5919 - 5921 WEST PARK AVE,5919-21 WEST PARK AV,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, confirmed",lot,matched,TRUE
14018000080,1316 GRAHAM ST,1316 GRAHAM ST,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
14018000190,1321 RIPPLE ST,1321 RIPPLE ST,FALSE,FALSE,FALSE,FALSE,building,"vacant building, confirmed",building,matched,FALSE
14018000310,1316 R GRAHAM ST,1316R GRAHAM ST,FALSE,FALSE,FALSE,FALSE,lot,"vacant lot, possible",lot,matched,TRUE
